Start work;0;
Achro 03 installation;0;
   Achro 03: Connect pumping stations and start baking;2;1
   Achro 03: Bake 2 pumping stations;8;3
   Achro 03 M1;0;
      Achro 03 M1: Break water connections for magnets;1;1
      Achro 03 M1: Break water connections for vacuum chambers and flush with air;1;1
      Achro 03 M1: Break electrical connections for magnets;1;1
      Achro 03 M1: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;1
      Achro 03 M1: Remove old top magnet halves;1;6,8,7,9,3
      Achro 03 M1: Install local supports for vac chambers;0.5;10
      Achro 03 M1: Detach VCs from supports on lower block and support with local (temp) supports;0.5;11
      Achro 03 M1: Remove old bottom magnet blocks;1;12
      Achro 03 M1: Exchange VC aluminium clamps to lock all the bellows;0.25;13
      Achro 03 M1: Mount new bottom-blocks (in the lowered position);1;14
      Achro 03 M1: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;15
      Achro 03 M1: Prepare chamber bending equipment on lower magnet block;0.75;16
      Achro 03 M1: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;17,4
      Achro 03 M1: Preloading lower magnet halves;1;18
      Achro 03 M1: Replace temp VC supports with final supports;1;19
      Achro 03 M1: Leak test, RGA;2;20
      Achro 03 M1: Reinstall BPM cables, route thermocouples;1;21
      Achro 03 M1: Final inspection;0.5;22
      Achro 03 M1: Close magnet blocks (possibly requiring another alignment step);1;23
      Achro 03 M1: Leak test (2nd);2;24
      Achro 03 M1: Measure/correct block shapes;2;25
      Achro 03 M1: Connect water connections for vacuum chambers;1;26
      Achro 03 M1: Connect electrical connections for vacuum chambers (TCOs);1;26
      Achro 03 M1: Make electrical connections;1;26
      Achro 03 M1: Make water connections;1;26
   Achro 03 U1;0;
      Achro 03 U1: Break water connections for magnets;1;6
      Achro 03 U1: Break water connections for vacuum chambers and flush with air;1;7
      Achro 03 U1: Break electrical connections for magnets;1;8
      Achro 03 U1: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;9
      Achro 03 U1: Remove old top magnet halves;1;32,33,34,35,3
      Achro 03 U1: Install local supports for vac chambers;0.5;36
      Achro 03 U1: Detach VCs from supports on lower block and support with local (temp) supports;0.5;37
      Achro 03 U1: Remove old bottom magnet blocks;1;38
      Achro 03 U1: Exchange VC aluminium clamps to lock all the bellows;0.25;39
      Achro 03 U1: Mount new bottom-blocks (in the lowered position);1;40
      Achro 03 U1: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;41,16
      Achro 03 U1: Prepare chamber bending equipment on lower magnet block;0.75;42
      Achro 03 U1: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;43,4
      Achro 03 U1: Preloading lower magnet halves;1;44
      Achro 03 U1: Replace temp VC supports with final supports;1;45
      Achro 03 U1: Leak test, RGA;2;46
      Achro 03 U1: Reinstall BPM cables, route thermocouples;1;47
      Achro 03 U1: Final inspection;0.5;48
      Achro 03 U1: Close magnet blocks (possibly requiring another alignment step);1;49
      Achro 03 U1: Leak test (2nd);2;50
      Achro 03 U1: Measure/correct block shapes;2;51
      Achro 03 U1: Connect water connections for vacuum chambers;1;52
      Achro 03 U1: Connect electrical connections for vacuum chambers (TCOs);1;52
      Achro 03 U1: Make electrical connections;1;52
      Achro 03 U1: Make water connections;1;52
   Achro 03 U1;0;
      Achro 03 U2: Break water connections for magnets;1;32
      Achro 03 U2: Break water connections for vacuum chambers and flush with air;1;33
      Achro 03 U2: Break electrical connections for magnets;1;34,29
      Achro 03 U2: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;35
      Achro 03 U2: Remove old top magnet halves;1;58,59,60,61,3,13
      Achro 03 U2: Install local supports for vac chambers;0.5;62
      Achro 03 U2: Detach VCs from supports on lower block and support with local (temp) supports;0.5;63
      Achro 03 U2: Remove old bottom magnet blocks;1;64
      Achro 03 U2: Exchange VC aluminium clamps to lock all the bellows;0.25;65
      Achro 03 U2: Mount new bottom-blocks (in the lowered position);1;66,26
      Achro 03 U2: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;67,42
      Achro 03 U2: Prepare chamber bending equipment on lower magnet block;0.75;68
      Achro 03 U2: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;69,4
      Achro 03 U2: Preloading lower magnet halves;1;70
      Achro 03 U2: Replace temp VC supports with final supports;1;71
      Achro 03 U2: Leak test, RGA;2;72
      Achro 03 U2: Reinstall BPM cables, route thermocouples;1;73
      Achro 03 U2: Final inspection;0.5;74
      Achro 03 U2: Close magnet blocks (possibly requiring another alignment step);1;75
      Achro 03 U2: Leak test (2nd);2;76
      Achro 03 U2: Measure/correct block shapes;2;77
      Achro 03 U2: Connect water connections for vacuum chambers;1;78
      Achro 03 U2: Connect electrical connections for vacuum chambers (TCOs);1;78
      Achro 03 U2: Make electrical connections;1;78
      Achro 03 U2: Make water connections;1;78
   Achro 03 U3;0;
      Achro 03 U3: Break water connections for magnets;1;58
      Achro 03 U3: Break water connections for vacuum chambers and flush with air;1;59
      Achro 03 U3: Break electrical connections for magnets;1;60,55
      Achro 03 U3: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;61
      Achro 03 U3: Remove old top magnet halves;1;84,85,86,87,3,39
      Achro 03 U3: Install local supports for vac chambers;0.5;88
      Achro 03 U3: Detach VCs from supports on lower block and support with local (temp) supports;0.5;89
      Achro 03 U3: Remove old bottom magnet blocks;1;90
      Achro 03 U3: Exchange VC aluminium clamps to lock all the bellows;0.25;91
      Achro 03 U3: Mount new bottom-blocks (in the lowered position);1;92,52
      Achro 03 U3: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;93,68
      Achro 03 U3: Prepare chamber bending equipment on lower magnet block;0.75;94
      Achro 03 U3: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;95,4
      Achro 03 U3: Preloading lower magnet halves;1;96
      Achro 03 U3: Replace temp VC supports with final supports;1;97
      Achro 03 U3: Leak test, RGA;2;98
      Achro 03 U3: Reinstall BPM cables, route thermocouples;1;99
      Achro 03 U3: Final inspection;0.5;100
      Achro 03 U3: Close magnet blocks (possibly requiring another alignment step);1;101
      Achro 03 U3: Leak test (2nd);2;102
      Achro 03 U3: Measure/correct block shapes;2;103
      Achro 03 U3: Connect water connections for vacuum chambers;1;104
      Achro 03 U3: Connect electrical connections for vacuum chambers (TCOs);1;104
      Achro 03 U3: Make electrical connections;1;104
      Achro 03 U3: Make water connections;1;104
   Achro 03 U4;0;
      Achro 03 U4: Break water connections for magnets;1;84
      Achro 03 U4: Break water connections for vacuum chambers and flush with air;1;85
      Achro 03 U4: Break electrical connections for magnets;1;86,81
      Achro 03 U4: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;87
      Achro 03 U4: Remove old top magnet halves;1;110,111,112,113,3,65
      Achro 03 U4: Install local supports for vac chambers;0.5;114
      Achro 03 U4: Detach VCs from supports on lower block and support with local (temp) supports;0.5;115
      Achro 03 U4: Remove old bottom magnet blocks;1;116
      Achro 03 U4: Exchange VC aluminium clamps to lock all the bellows;0.25;117
      Achro 03 U4: Mount new bottom-blocks (in the lowered position);1;118,78
      Achro 03 U4: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;119,94
      Achro 03 U4: Prepare chamber bending equipment on lower magnet block;0.75;120
      Achro 03 U4: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;121,4
      Achro 03 U4: Preloading lower magnet halves;1;122
      Achro 03 U4: Replace temp VC supports with final supports;1;123
      Achro 03 U4: Leak test, RGA;2;124
      Achro 03 U4: Reinstall BPM cables, route thermocouples;1;125
      Achro 03 U4: Final inspection;0.5;126
      Achro 03 U4: Close magnet blocks (possibly requiring another alignment step);1;127
      Achro 03 U4: Leak test (2nd);2;128
      Achro 03 U4: Measure/correct block shapes;2;129
      Achro 03 U4: Connect water connections for vacuum chambers;1;130
      Achro 03 U4: Connect electrical connections for vacuum chambers (TCOs);1;130
      Achro 03 U4: Make electrical connections;1;130
      Achro 03 U4: Make water connections;1;130
   Achro 03 U5;0;
      Achro 03 U5: Break water connections for magnets;1;110
      Achro 03 U5: Break water connections for vacuum chambers and flush with air;1;111
      Achro 03 U5: Break electrical connections for magnets;1;112,107
      Achro 03 U5: Break electrical connections for TCOs, BPM cables, fast corr magnets;1;113
      Achro 03 U5: Remove old top magnet halves;1;136,137,138,139,3,91
      Achro 03 U5: Install local supports for vac chambers;0.5;140
      Achro 03 U5: Detach VCs from supports on lower block and support with local (temp) supports;0.5;141
      Achro 03 U5: Remove old bottom magnet blocks;1;142
      Achro 03 U5: Exchange VC aluminium clamps to lock all the bellows;0.25;143
      Achro 03 U5: Mount new bottom-blocks (in the lowered position);1;144,104
      Achro 03 U5: Rough alignment of bottom-blocks (blocks are still lowered at this stage);2;145,120
      Achro 03 U5: Prepare chamber bending equipment on lower magnet block;0.75;146
      Achro 03 U5: Raise lower magnet blocks while bending the VC (changing VC clamps during bending);1;147,4
      Achro 03 U5: Preloading lower magnet halves;1;148
      Achro 03 U5: Replace temp VC supports with final supports;1;149
      Achro 03 U5: Leak test, RGA;2;150
      Achro 03 U5: Reinstall BPM cables, route thermocouples;1;151
      Achro 03 U5: Final inspection;0.5;152
      Achro 03 U5: Close magnet blocks (possibly requiring another alignment step);1;153
      Achro 03 U5: Leak test (2nd);2;154
      Achro 03 U5: Measure/correct block shapes;2;155
      Achro 03 U5: Connect water connections for vacuum chambers;1;156
      Achro 03 U5: Connect electrical connections for vacuum chambers (TCOs);1;156
      Achro 03 U5: Make electrical connections;1;156
      Achro 03 U5: Make water connections;1;156
   Achro 03 M2;0;
      Achro 03 M2: Break water connections for magnets;1;136
      Achro 03 M2: Break water connections for vacuum chambers and flush with air;1;137
      Achro 03 M2: Break electrical connections for magnets;1;138,133
